data_type,study_number_meta,author,year,title,link_to_paper,source,Diagnosis,n,pclr_score,Offending,Number violent convictions (mean),Age at 1st Violent conviction (mean),age,IQ,% Right handed,male_percent,Axis_I_comorbidity %,Substance Misuse Disorder Historical,Other Personality Disorder Comorbidity,Active Substance Misuse,white_ethnicity,black_ethnicity,other_ethnicity,Psychotropic meds,tracing,units,MRI_SCANNER,whole_brain_mn_l,whole_brain_sd_l,whole_brain_mn_r,whole_brain_sd_r,whole_brain_mn,whole_brain_sd,intracranial_mn_l,intracranial_sd_l,intracranial_mn_r,intracranial_sd_r,intracranial_mn,intracranial_sd,white_matter_mn_l,white_matter_sd_l,white_matter_mn_r,white_matter_sd_r,white_matter_mn,white_matter_sd,gray_matter_mn_l,gray_matter_sd_l,gray_matter_mn_r,gray_matter_sd_r,gray_matter_mn,gray_matter_sd,csf_mn_l,csf_sd_l,csf_mn_r,csf_sd_r,csf_mn,csf_sd,amygdala_mn_l,amygdala_sd_l,amygdala_mn_r,amygdala_sd_r,amygdala_mn,amygdala_sd,amygdala_t,acc_mn_l,acc_sd_l,acc_mn_r,acc_sd_r,acc_mn,acc_sd,acc_t,accumbens_mn_l,accumbens_sd_l,accumbens_p_l,accumbens_mn_r,accumbens_sd_r,accumbens_p_r,accumbens_mn,accumbens_sd,caudate_mn_l,caudate_sd_l,caudate_mn_r,caudate_sd_r,caudate_mn,caudate_sd,caudate_t,cerebellum_mn_l,cerebellum_sd_l,cerebellum_mn_r,cerebellum_sd_r,cerebellum_mn,cerebellum_sd,corpus_callosum_mn_l,corpus_callosum_sd_l,corpus_callosum_mn_r,corpus_callosum_sd_r,corpus_callosum_mn,corpus_callosum_sd,frontal_mn_l,frontal_sd_l,frontal_mn_r,frontal_sd_r,frontal_mn,frontal_sd,frontal_t,hippocampus_mn_l,hippocampus_sd_l,hippocampus_mn_r,hippocampus_sd_r,hippocampus_mn,hippocampus_sd,insula_mn_l,insula_sd_l,insula_mn_r,insula_sd_r,insula_mn,insula_sd,lateral_ventricle_mn_l,lateral_ventricle_sd_l,lateral_ventricle_mn_r,lateral_ventricle_sd_r,lateral_ventricle_mn,lateral_ventricle_sd,lingualgyrus_mn_r,lingualgyrus_sd_r,lingualgyrus_mn_l,lingualgyrus_sd_l,lingualgyrus_mn,lingualgyrus_sd,occipital_mean_l,occipital_sd_l,occipital_mean_r,occipital_sd_r,occipital_mean,occipital_sd,pallidum_mn_l,pallidum_sd_l,pallidum_mn_r,pallidum_sd_r,pallidum_mn,pallidum_sd,pallidum_t,parahippocampal_mn_l,parahippocampal_sd_l,parahippocampal_mn_r,parahippocampal_sd_r,parahippocampal_mn,parahippocampal_sd,parietal_mn_l,parietal_sd_l,parietal_mn_r,parietal_sd_r,parietal_mn,parietal_sd,precuneus_mn_l,precuneus_sd_l,precuneus_mn,precuneus_sd,putamen_mn_l,putamen_sd_l,putamen_mn_r,putamen_sd_r,putamen_mn,putamen_sd,putamen_t,striatum_mn_l,striatum_sd_l,striatum_mn_r,striatum_sd_r,striatum_mn,striatum_sd,thalamus_mn_l,thalamus_sd_l,thalamus_mn_r,thalamus_sd_r,thalamus_mn,thalamus_sd,third_ventricle_mn_l,third_ventricle_sd_l,third_ventricle_mn_r,third_ventricle_sd_r,third_ventricle_mn,third_ventricle_sd
,1,"Sebastian et al,",2016,Grey Matter Volumes in Children with Conduct Problems and Varying Levels of Callous-Unemotional Traits.,https://link.springer.com/content/pdf/10.1007/s10802-015-0073-0.pdf,ovid_search,DBD+CU,29,,Not Specified,,,14.3,97.9,0.89,1,Mixed,Mixed,No,Not Specified,0.75,0.07,0.17,Not specified,AutomaticVolume,cm3,1.5,,,,,1451.64,111.09,,,,,,,,,,,496.95,55.7,,,,,788.86,66.4,,,,,196.34,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Sebastian et al,",2016,Grey Matter Volumes in Children with Conduct Problems and Varying Levels of Callous-Unemotional Traits.,https://link.springer.com/content/pdf/10.1007/s10802-015-0073-0.pdf,ovid_search,DBD-CU,31,,Not Specified,,,14.1,104,0.9,1,Mixed,Mixed,No,Not Specified,0.64,0.12,0.24,Not specified,AutomaticVolume,cm3,1.5,,,,,1504.76,109.61,,,,,,,,,,,522.61,57.72,,,,,798.51,58.86,,,,,183.64,29.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Sebastian et al,",2016,Grey Matter Volumes in Children with Conduct Problems and Varying Levels of Callous-Unemotional Traits.,https://link.springer.com/content/pdf/10.1007/s10802-015-0073-0.pdf,ovid_search,HCY,29,,Non-offender,,,13.6,105,0.82,1,Mixed,Mixed,No,Not Specified,0.8,0.07,0.13,Not specified,AutomaticVolume,cm3,1.5,,,,,1505.54,116.21,,,,,,,,,,,514.98,55.88,,,,,809.06,52.03,,,,,181.5,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Tiihonen et al,",2008,Brain anatomy of persistent violent offenders: more rather than less,https://www.sciencedirect.com/science/article/pii/S0925492707001734?casa_token=5uoc_ggWKAoAAAAA:ijrV1kAvYMJFSXukZRkCNoiWVflpNhi1sCCSOznLe46T1vdIt6unPiQfJi-_1vuS7pUQ0H7GagY,ovid_search,HCA,25,,Non-offender,,,34.6,,,1,No,No,No,No,1,,,No,AutomaticVolume,cm3,1,,,,,,,,,,,1701,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2,4,63.7,4.7,63.95,4.012792045,,,,,,,148.3,15,146.1,14.1,147.2,12.45,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,5,58.2,5,57,5.095,,,,,,,,,,,,,,76.4,6.7,74.7,6.6,75.5,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Tiihonen et al,",2008,Brain anatomy of persistent violent offenders: more rather than less,https://www.sciencedirect.com/science/article/pii/S0925492707001734?casa_token=5uoc_ggWKAoAAAAA:ijrV1kAvYMJFSXukZRkCNoiWVflpNhi1sCCSOznLe46T1vdIt6unPiQfJi-_1vuS7pUQ0H7GagY,ovid_search,ASPD,26,,Violent,not given,not given,32.5,,,1,No,Yes,Not specified,No,1,,,Mixed,AutomaticVolume,cm3,1,,,,,,,,,,,1654,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,5.7,67.2,5.9,67.1,5.7446,,,,,,,149,20,148.1,20.2,148.5,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,55.8,6.1,57.6,7.7,56.7,6.93,,,,,,,,,,,,,,75.9,9.2,74.7,9.2,75.3,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Vetter et al,",2020,Altered brain morphology in boys with attention deficit hyperactivity disorder with and without comorbid conduct disorder/oppositional defiant disorder. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267962/,ovid_search,DBD,26,,Not Specified,,,12.9,106,,1,No,Not specified,Not specified,Not Specified,,,,Mixed,Freesurfer segmentation,mm3,3,,,,,,,,,,,"1,539,709","89,903",,,,,,,"307,879",24902,"293,752",23719,"795,511",55391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,225",3843,65133,4032,"66,679",4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"Vetter et al,",2020,Altered brain morphology in boys with attention deficit hyperactivity disorder with and without comorbid conduct disorder/oppositional defiant disorder. ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7267962/,ovid_search,HCY,30,,Non-offender,,,13.5,110,,1,No,Not specified,Not specified,Not Specified,,,,No,Freesurfer segmentation,mm3,3,,,,,,,,,,,"1,615,853","124,760",,,,,,,"290,981",25825,"304,930",26149,"836,658",57473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"68,284",5393,70203,5407,"69,243",5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"Barkataki et al,",2006,Volumetric structural brain abnormalities in men with schizophrenia or antisocial personality disorder,https://reader.elsevier.com/reader/sd/pii/S0166432806000477?token=825379A4B3A720F99FDE84C5C1A024767A68DB8B65DEAD68BD7F66E88C170BF3DF0C486BC02E8EB24C42ABD7EDE65C0C&originRegion=eu-west-1&originCreation=20210405082837,ovid_search,ASPD,13,,Mixed,,,31.62,94.2,1,1,No,,Mixed,No,,,,No,Manual,cm3,1.5,,,,,1075.5,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.29,,,,,,,,,,,,,,,,,,,,,7.44,1.32,,,,,,131.91,13.06,,,,,,,,,,,,,,,,,,4.9,0.7,,,,,,,,,,,11.57,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98,1.3,,,,,,,,,,,,10.29,1.83,,,,,,
,4,"Barkataki et al,",2006,Volumetric structural brain abnormalities in men with schizophrenia or antisocial personality disorder,https://reader.elsevier.com/reader/sd/pii/S0166432806000477?token=825379A4B3A720F99FDE84C5C1A024767A68DB8B65DEAD68BD7F66E88C170BF3DF0C486BC02E8EB24C42ABD7EDE65C0C&originRegion=eu-west-1&originCreation=20210405082837,ovid_search,HCA,15,,Non-offender,,,32.13,104.3,1,1,No,,No,No,,,,No,Manual,cm3,1.5,,,,,1174.5,113.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,0.37,,,,,,,,,,,,,,,,,,,,,7.66,1.51,,,,,,146.34,11.75,,,,,,,,,,,,,,,,,,5.4,0.94,,,,,,,,,,,7.28,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,1.6,,,,,,,,,,,,11.59,1.93,,,,,,
,5,"Boccardi et al,",2013,Atypical nucleus accumbens morphology in psychopathy: another limbic piece in the puzzle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3603572/pdf/nihms437810.pdf,ovid_search,ASPD+P,26,29.9,Violent,,,,94.7,,1,No,,No,Yes,,,,Yes,Manual,cm3,1,,,,,,,,,,,1659,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0.22,,1.23,0.29,,1.205,0.256,5.28,0.5,5.14,0.51,5.21,0.5,,,,,,,,,,,,,,,,,,,,,3.46,0.35,3.36,0.316,3.411,0.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,0.73,6.72,0.76,6.7,0.738,,,,,,,,,,,,,,,,,,,
